sum.taxonomy	mock_sanger
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana	1
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;NA;	1
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris	1
Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Asterochloris;	1
;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas pyrenoidifera	1
;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	1
;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;	1
;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	1
Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata	1
;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	1
;NA;Prymnesiales;Prymnesiaceae;Prymnesium;	1
;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;	1
