	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		forward	merged	reverse	unmerged	All	forward	reverse	unmerged	All
95	Annelida;Polychaeta;Capitellida;Capitellidae;Dasybranchus;Dasybranchus sp. DH1	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0
96	Arthropoda;Arachnida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	15.0
97	Arthropoda;Arachnida;Araneae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284.0	284.0
98	Arthropoda;Arachnida;Araneae;Corinnidae;Phrurotimpus;Phrurotimpus alarius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	22.0
99	Arthropoda;Arachnida;Araneae;Ctenidae;Macroctenus;Macroctenus vandenspiegeli	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	87.0
100	Arthropoda;Arachnida;Araneae;Dysderidae;Dysdera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	46.0
101	Arthropoda;Arachnida;Araneae;Dysderidae;Dysdera;Dysdera nesiotes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
102	Arthropoda;Arachnida;Araneae;Dysderidae;Dysdera;Dysdera silvatica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	285.0	285.0
103	Arthropoda;Arachnida;Araneae;Euctenizidae;Apomastus;Apomastus kristenae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	120.0
104	Arthropoda;Arachnida;Araneae;Linyphiidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1527.0	1527.0
105	Arthropoda;Arachnida;Araneae;Linyphiidae;Erigone;Erigone psychrophila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
106	Arthropoda;Arachnida;Araneae;Micropholcommatidae;Raveniella;Raveniella cirrata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	63.0
107	Arthropoda;Arachnida;Araneae;Mimetidae;Gelanor;Gelanor sp. GH1254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	103.0
108	Arthropoda;Arachnida;Araneae;Nemesiidae;Aname;Aname sp. MYG271	0.0	0.0	0.0	0.0	0.0	38.0	0.0	634.0	672.0
109	Arthropoda;Arachnida;Araneae;Philodromidae;Thanatus;Thanatus vulgaris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0
110	Arthropoda;Arachnida;Araneae;Thomisidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	84.0
111	Arthropoda;Arachnida;Araneae;Thomisidae;Xysticus	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0
112	Arthropoda;Arachnida;Araneae;Zorocratidae;Zorodictyna;Zorodictyna sp. CG300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	140.0
113	Arthropoda;Arachnida;Astigmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	16.0
114	Arthropoda;Arachnida;Astigmata;Proctophyllodidae;Proctophyllodes;Proctophyllodes motacillae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
115	Arthropoda;Arachnida;Mesostigmata;Laelapidae;Laelaps;Laelaps giganteus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	18.0
116	Arthropoda;Arachnida;Scorpiones	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	28.0
117	Arthropoda;Arachnida;Scorpiones;Vaejovidae;Chihuahuanus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	134.0
118	Arthropoda;Arachnida;Trombidiformes;Eupodidae;;Eupodidae sp. BOLD:ACI9911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0
119	Arthropoda;Collembola;;Entomobryidae;Sinella;Sinella dubiosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	16.0
120	Arthropoda;Insecta;Blattodea;Blaberidae;Rhabdoblatta;Rhabdoblatta marginata	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	11.0
121	Arthropoda;Insecta;Coleoptera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	61.0
122	Arthropoda;Insecta;Coleoptera;Brentidae;Omphalapion;Omphalapion hookerorum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0
123	Arthropoda;Insecta;Coleoptera;Carabidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
124	Arthropoda;Insecta;Coleoptera;Carabidae;Nebria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
125	Arthropoda;Insecta;Coleoptera;Cerambycidae;Acmaeops;Acmaeops septentrionis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
126	Arthropoda;Insecta;Coleoptera;Chrysomelidae;;Alticinae sp. 051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
127	Arthropoda;Insecta;Coleoptera;Chrysomelidae;;Alticini sp. 162 BT-2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
128	Arthropoda;Insecta;Coleoptera;Curculionidae;Hypera	0.0	0.0	0.0	0.0	0.0	2.0	0.0	69.0	71.0
129	Arthropoda;Insecta;Coleoptera;Histeridae;Paratropinus;Paratropinus scalptus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0
130	Arthropoda;Insecta;Coleoptera;Nitidulidae;Cychramus;Cychramus luteus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	289.0	289.0
131	Arthropoda;Insecta;Coleoptera;Pyrochroidae;Pedilus;Pedilus terminalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	346.0	346.0
132	Arthropoda;Insecta;Coleoptera;Scarabaeidae;Mimeoma;Mimeoma maculata	0.0	0.0	0.0	0.0	0.0	17.0	0.0	272.0	289.0
133	Arthropoda;Insecta;Coleoptera;Staphylinidae;Carpelimus;Carpelimus nitidus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
134	Arthropoda;Insecta;Coleoptera;Tenebrionidae;Gonocephalum;Gonocephalum persimile	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	55.0
135	Arthropoda;Insecta;Coleoptera;Zeugophoridae;Zeugophora;Zeugophora subspinosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	18.0
136	Arthropoda;Insecta;Diptera;Ceratopogonidae;Culicoides;Culicoides lupicaris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
137	Arthropoda;Insecta;Diptera;Dolichopodidae;Systenus;Systenus eucercus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224.0	224.0
138	Arthropoda;Insecta;Diptera;Mycetophilidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	15.0
139	Arthropoda;Insecta;Diptera;Mycetophilidae;;Mycetophilidae sp. BOLD:ABW9767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
140	Arthropoda;Insecta;Diptera;Mycetophilidae;;Mycetophilidae sp. BOLD:ACD0573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	202.0
141	Arthropoda;Insecta;Diptera;Psychodidae;Brumptomyia;Brumptomyia travassosi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
142	Arthropoda;Insecta;Diptera;Syrphidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
143	Arthropoda;Insecta;Diptera;Syrphidae;Copestylum;Copestylum vittatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
144	Arthropoda;Insecta;Hemiptera;Halimococcidae;Colobopyga;Colobopyga pritchardiae	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	6.0
145	Arthropoda;Insecta;Hymenoptera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	67.0
146	Arthropoda;Insecta;Hymenoptera;Braconidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	64.0
147	Arthropoda;Insecta;Hymenoptera;Braconidae;Aleiodes;Aleiodes sp. BOLD-2016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	41.0
